Member_number,Recency,Frequency,Monetary,Cluster
KH1256,123.0,12.0,99.65,Big Spenders
KH1257,470.0,4.0,20.0,One-time Shoppers
KH1258,508.0,6.0,50.9,One-time Shoppers
KH1259,33.0,14.0,220.04,Loyal Customers
KH1260,452.0,4.0,48.74,Churned Customers
KH1261,223.0,8.0,47.05,Big Spenders
KH1262,526.0,6.0,46.6,One-time Shoppers
KH1263,437.0,4.0,39.8,Churned Customers
KH1264,23.0,17.0,145.0,Loyal Customers
KH1265,88.0,25.0,279.99,Loyal Customers
KH1266,490.0,2.0,10.8,One-time Shoppers
KH1267,594.0,2.0,15.0,One-time Shoppers
KH1268,437.0,9.0,57.8,Churned Customers
KH1269,91.0,14.0,123.62,Loyal Customers
KH1270,249.0,6.0,67.06,Big Spenders
KH1272,521.0,2.0,28.8,One-time Shoppers
KH1273,240.0,4.0,24.6,Big Spenders
KH1274,538.0,7.0,63.88,One-time Shoppers
KH1275,73.0,24.0,152.56,Loyal Customers
KH1276,37.0,13.0,101.5,Potential Loyalists
KH1277,29.0,15.0,108.21,Potential Loyalists
KH1278,21.0,15.0,95.2,Potential Loyalists
KH1279,111.0,17.0,112.9,Potential Loyalists
KH1280,140.0,8.0,47.1,Big Spenders
KH1281,211.0,9.0,91.9,Big Spenders
KH1282,42.0,10.0,40.7,Potential Loyalists
KH1283,47.0,17.0,145.2,Loyal Customers
KH1284,485.0,4.0,25.6,One-time Shoppers
KH1285,162.0,14.0,107.4,Big Spenders
KH1286,140.0,16.0,124.45,Big Spenders
KH1287,124.0,17.0,180.92,Loyal Customers
KH1288,458.0,7.0,92.68,Churned Customers
KH1289,52.0,11.0,125.9,Loyal Customers
KH1290,99.0,13.0,107.5,Potential Loyalists
KH1291,285.0,12.0,55.0,Churned Customers
KH1292,67.0,4.0,22.7,Potential Loyalists
KH1293,65.0,11.0,93.46,Potential Loyalists
KH1294,373.0,12.0,120.4,Churned Customers
KH1295,160.0,8.0,62.35,Big Spenders
KH1296,37.0,17.0,154.34,Loyal Customers
KH1297,382.0,9.0,108.15,Churned Customers
KH1298,156.0,7.0,60.8,Big Spenders
KH1299,210.0,8.0,23.1,Big Spenders
KH1300,482.0,2.0,21.0,One-time Shoppers
KH1301,57.0,7.0,54.0,Potential Loyalists
KH1302,92.0,10.0,56.96,Potential Loyalists
KH1303,113.0,14.0,82.0,Potential Loyalists
KH1304,135.0,7.0,68.5,Big Spenders
KH1305,220.0,12.0,114.3,Big Spenders
KH1306,40.0,9.0,58.19,Potential Loyalists
KH1307,191.0,12.0,66.7,Big Spenders
KH1308,291.0,8.0,89.4,Churned Customers
KH1309,273.0,11.0,88.35,Big Spenders
KH1310,403.0,4.0,12.4,Churned Customers
KH1311,184.0,8.0,79.5,Big Spenders
KH1312,226.0,14.0,197.8,Big Spenders
KH1313,5.0,2.0,17.3,Potential Loyalists
KH1314,481.0,2.0,2.9,One-time Shoppers
KH1315,53.0,6.0,82.0,Potential Loyalists
KH1316,279.0,6.0,49.6,Churned Customers
KH1317,522.0,6.0,32.54,One-time Shoppers
KH1318,95.0,5.0,51.3,Potential Loyalists
KH1319,134.0,9.0,63.8,Big Spenders
KH1320,345.0,10.0,90.72,Churned Customers
KH1321,261.0,5.0,14.6,Big Spenders
KH1322,72.0,15.0,140.64,Loyal Customers
KH1323,57.0,8.0,40.9,Potential Loyalists
KH1324,3.0,14.0,179.2,Loyal Customers
KH1325,218.0,9.0,80.3,Big Spenders
KH1326,51.0,11.0,103.8,Potential Loyalists
KH1327,143.0,18.0,136.92,Big Spenders
KH1328,281.0,10.0,88.82,Churned Customers
KH1329,221.0,16.0,146.6,Big Spenders
KH1330,58.0,11.0,118.4,Potential Loyalists
KH1331,31.0,9.0,61.75,Potential Loyalists
KH1332,28.0,15.0,64.1,Potential Loyalists
KH1333,99.0,18.0,145.5,Loyal Customers
KH1334,206.0,5.0,27.0,Big Spenders
KH1335,73.0,12.0,94.45,Potential Loyalists
KH1336,270.0,9.0,192.85,Big Spenders
KH1337,5.0,4.0,70.5,Potential Loyalists
KH1338,506.0,5.0,25.1,One-time Shoppers
KH1339,32.0,13.0,78.5,Potential Loyalists
KH1340,42.0,14.0,82.7,Potential Loyalists
KH1341,61.0,12.0,139.4,Loyal Customers
KH1342,314.0,13.0,132.05,Churned Customers
KH1343,59.0,10.0,124.22,Loyal Customers
KH1344,117.0,6.0,26.5,Potential Loyalists
KH1345,162.0,10.0,78.36,Big Spenders
KH1346,236.0,7.0,59.7,Big Spenders
KH1347,106.0,14.0,124.4,Loyal Customers
KH1348,104.0,6.0,58.0,Potential Loyalists
KH1349,17.0,11.0,77.52,Potential Loyalists
KH1350,483.0,6.0,19.2,One-time Shoppers
KH1351,307.0,6.0,63.1,Churned Customers
KH1352,667.0,2.0,24.4,One-time Shoppers
KH1353,324.0,21.0,235.4,Churned Customers
KH1354,29.0,13.0,74.95,Potential Loyalists
KH1355,102.0,13.0,92.7,Potential Loyalists
KH1356,113.0,10.0,131.44,Loyal Customers
KH1357,115.0,6.0,24.3,Potential Loyalists
KH1358,1.0,12.0,98.4,Potential Loyalists
KH1359,580.0,4.0,46.4,One-time Shoppers
KH1360,14.0,16.0,195.2,Loyal Customers
KH1361,113.0,17.0,100.9,Potential Loyalists
KH1362,85.0,5.0,62.7,Potential Loyalists
KH1363,77.0,13.0,96.6,Potential Loyalists
KH1364,152.0,8.0,35.4,Big Spenders
KH1365,58.0,12.0,62.5,Potential Loyalists
KH1366,31.0,25.0,224.1,Loyal Customers
KH1367,147.0,5.0,70.9,Big Spenders
KH1368,168.0,2.0,33.9,Big Spenders
KH1369,394.0,8.0,23.6,Churned Customers
KH1370,178.0,13.0,71.9,Big Spenders
KH1371,233.0,6.0,90.3,Big Spenders
KH1372,188.0,10.0,97.3,Big Spenders
KH1373,164.0,14.0,153.4,Big Spenders
KH1374,147.0,11.0,36.8,Big Spenders
KH1375,80.0,2.0,7.2,Potential Loyalists
KH1376,183.0,7.0,37.58,Big Spenders
KH1377,291.0,11.0,92.9,Churned Customers
KH1378,79.0,4.0,52.5,Potential Loyalists
KH1379,170.0,28.0,217.85,Loyal Customers
KH1380,39.0,11.0,101.1,Potential Loyalists
KH1381,282.0,15.0,104.75,Churned Customers
KH1382,92.0,6.0,43.0,Potential Loyalists
KH1383,310.0,6.0,41.0,Churned Customers
KH1384,11.0,15.0,86.6,Potential Loyalists
KH1385,34.0,15.0,164.7,Loyal Customers
KH1386,152.0,6.0,54.8,Big Spenders
KH1387,578.0,6.0,47.46,One-time Shoppers
KH1388,271.0,7.0,44.2,Churned Customers
KH1389,315.0,8.0,36.3,Churned Customers
KH1390,303.0,12.0,99.87,Churned Customers
KH1391,131.0,13.0,97.4,Big Spenders
KH1392,254.0,6.0,85.9,Big Spenders
KH1393,491.0,7.0,44.15,One-time Shoppers
KH1394,220.0,4.0,56.1,Big Spenders
KH1395,79.0,23.0,174.64,Loyal Customers
KH1396,161.0,8.0,106.52,Big Spenders
KH1397,9.0,2.0,11.8,Potential Loyalists
KH1398,259.0,8.0,86.51,Big Spenders
KH1399,385.0,9.0,80.1,Churned Customers
KH1400,445.0,2.0,7.8,Churned Customers
KH1401,215.0,4.0,13.6,Big Spenders
KH1402,442.0,4.0,17.8,Churned Customers
KH1403,228.0,10.0,68.4,Big Spenders
KH1404,241.0,18.0,159.5,Big Spenders
KH1405,305.0,6.0,45.2,Churned Customers
KH1406,2.0,12.0,102.2,Potential Loyalists
KH1407,154.0,23.0,261.55,Loyal Customers
KH1408,160.0,7.0,31.9,Big Spenders
KH1409,155.0,6.0,37.06,Big Spenders
KH1410,52.0,27.0,184.95,Loyal Customers
KH1411,313.0,4.0,70.32,Churned Customers
KH1412,44.0,12.0,86.27,Potential Loyalists
KH1413,381.0,7.0,63.8,Churned Customers
KH1414,220.0,2.0,3.4,Big Spenders
KH1415,367.0,4.0,10.8,Churned Customers
KH1416,130.0,14.0,137.7,Loyal Customers
KH1417,103.0,10.0,70.1,Potential Loyalists
KH1418,393.0,7.0,38.7,Churned Customers
KH1419,267.0,15.0,165.5,Big Spenders
KH1420,22.0,11.0,82.35,Potential Loyalists
KH1421,145.0,11.0,50.12,Big Spenders
KH1422,87.0,19.0,152.4,Loyal Customers
KH1423,443.0,6.0,49.46,Churned Customers
KH1424,82.0,6.0,79.3,Potential Loyalists
KH1425,97.0,10.0,44.32,Potential Loyalists
KH1426,175.0,10.0,74.04,Big Spenders
KH1427,34.0,16.0,92.4,Potential Loyalists
KH1428,346.0,13.0,107.14,Churned Customers
KH1429,326.0,5.0,31.1,Churned Customers
KH1430,13.0,16.0,203.6,Loyal Customers
KH1431,53.0,9.0,48.3,Potential Loyalists
KH1432,148.0,11.0,96.1,Big Spenders
KH1433,464.0,4.0,50.6,One-time Shoppers
KH1434,397.0,8.0,49.5,Churned Customers
KH1435,250.0,15.0,175.55,Big Spenders
